"occ_group","isco08","s92EU","s92UK","s04EU","s04UK","shiftEU","shiftUK"
"High",1,0.0854776434994243,0.156409158588253,0.0934164024234795,0.16736092209744,0.793875892405522,1.0951763509187
"High",2,0.137886562232433,0.173145373098085,0.152340125437779,0.154645397204833,1.44535632053456,-1.84999758932518
"High",3,0.131215960083883,0.0871637899633835,0.160863840408414,0.13971101617694,2.96478803245309,5.25472262135569
"Mid",4,0.138247337554553,0.160677883785874,0.119581681658581,0.134936037773807,-1.86656558959722,-2.57418460120667
"Mid",6,0.0453901376222225,0.0102756139487625,0.0310013992262678,0.00926594322095074,-1.43887383959546,-0.100967072781178
"Mid",7,0.165939713073054,0.139001961824305,0.144235178578403,0.0940735831863958,-2.17045344946507,-4.49283786379091
"Mid",8,0.091987393829598,0.0843776160320027,0.083546038019636,0.06845319101097,-0.844135580996203,-1.59244250210326
"Low",5,0.122718586906039,0.113862493370056,0.125483332978514,0.141249423097405,0.276474607247534,2.73869297273485
"Low",9,0.081136665198793,0.0750861093892783,0.0895320012689255,0.0903044862312581,0.839533607013249,1.52183768419797
